,Place,TotalPopulation,pop18OrLess,pop19To49,pop50To64,pop65AndUp,cityCase_18OrLess,cityCase_19To49,cityCase_50To64,cityCase_65AndUp,sumOfcityCase,Cases,rscore_18OrLess,rscore_19to49,rscore_50to65,rscore_65andUp
0,Rolling Hills,3218,820.59,984.708,759.4480000000001,656.472,1.854048301084809,6.00947929953428,3.5825027233067046,2.5539696760742054,13.999999999999998,14.0,0.0022594088413029757,0.00610280336864764,0.004717245582721535,0.0038904472332014243
1,Palos Verdes Estates,13340,3281.64,4175.42,3201.6,2681.34,16.369466986411062,56.25722711569834,33.3429741407426,23.030331757148005,129.0,129.0,0.004988197055865684,0.013473429527017244,0.010414472182890617,0.00858911281566232
2,Bel-Air,7691,1507.4360000000001,2822.5969999999998,1753.548,1607.4189999999999,,,,,,,,,,
3,Bradbury,1268,292.90799999999996,419.70799999999997,242.18800000000002,314.464,2.6050133375923257,10.082320957532588,4.497021885955059,4.81564381892003,22.0,22.0,0.008893623040655517,0.02402222725688476,0.018568310097754878,0.015313815950061153
4,Century City,5513,678.099,2381.6160000000004,997.8530000000001,1455.432,10.48987146640948,99.51381035381424,32.22829221906191,38.7680259607144,181.00000000000003,181.0,0.015469527998728033,0.04178415426912408,0.032297635241926324,0.02663678272891787
5,Beverly Crest,10852,2094.436,4275.688,2626.1839999999997,1844.8400000000001,17.560886213040167,96.83222142516415,45.97250285572679,26.6343895060689,187.0,187.0,0.008384541811275287,0.022647167292179447,0.017505438634812638,0.014437235481705132
6,Rancho Palos Verdes,41301,9788.337,14661.855,9127.521,7723.287,48.25545571447778,195.23648577696918,93.94723693086154,65.56082157769148,403.0,403.0,0.004929893169235774,0.013315947114261407,0.010292743991589998,0.008488720097762971
7,Rancho Dominguez,2526,525.408,982.614,654.234,363.744,,,,,,,,,,
8,Pacific Palisades,23940,5697.719999999999,8785.98,5266.8,4165.5599999999995,25.138073595918897,104.70216307186575,48.514479884664375,31.645283447550973,210.00000000000003,210.0,0.004411953131413776,0.011916958958689385,0.009211376905267786,0.007596885760270162
9,View Park-Windsor Hills,11066,2368.124,4271.476,2202.134,2224.266,,,,,,,,,,
10,Rolling Hills Estates,8334,2183.5080000000003,2858.5620000000004,1858.482,1441.7820000000002,8.45622303576769,29.90224608513986,15.027047647162654,9.614483231929796,63.0,63.0,0.003872769431468852,0.010460590354569836,0.008085656814089485,0.006668472232230528
11,La Habra Heights,6094,1468.6540000000002,2224.31,1371.15,1029.886,8.366174801271505,34.224515575385986,16.30745063608531,10.101858987257202,69.0,69.0,0.005696491346002193,0.015386576320470613,0.011893265241647747,0.009808715709561254
12,Westlake Village,8663,2044.468,3153.332,1983.8269999999998,1490.0359999999998,6.156122446542206,25.646681802131823,12.471663697130039,7.725532054195933,52.0,52.0,0.0030111121556034163,0.008133200627822197,0.0062866689974125966,0.005184795571513664
